dataset,genotype,camera,datetime,setup,filename,fly_id,is_male,total_frames,nan_frames,valid_frames,nan_percentage,recording_duration_sec,nan_time_sec,nan_time_min,frame_rate
dataset_1,DGRP375,CamB,2026-01-15T10,N/A,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,6,False,432000,197,431803,0.04560185185185185,7199.983,3.283333181326809,0.054722219688780147,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,1,False,432000,54376,377624,12.587037037037039,7199.983,906.2666247097795,15.104443745162992,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,2,False,432000,2069,429931,0.4789351851851852,7199.983,34.48333173687902,0.5747221956146504,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,3,True,432000,114956,317044,26.610185185185188,7199.983,1915.9332446325109,31.93222074387518,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,4,False,432000,268,431732,0.06203703703703704,7199.983,4.466666459876065,0.07444444099793442,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,5,False,432000,21411,410589,4.95625,7199.983,356.84998347912847,5.9474997246521415,60.00000277778433
dataset_1,DGRP375,CamB,2026-01-15T16,N/A,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,6,False,432000,67583,364417,15.644212962962964,7199.983,1126.3832811858363,18.773054686430605,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,1,True,432000,67281,364719,15.574305555555556,7199.983,1121.349948085528,18.689165801425467,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,2,False,432000,591,431409,0.13680555555555554,7199.983,9.849999543980427,0.16416665906634045,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,3,False,432000,17,431983,0.003935185185185185,7199.983,0.28333332021601904,0.004722222003600317,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,4,False,432000,3179,428821,0.7358796296296296,7199.983,52.98333088039556,0.8830555146732594,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,5,False,432000,15590,416410,3.608796296296296,7199.983,259.8333213039845,4.330555355066409,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-12T10,N/A,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,6,False,432000,43,431957,0.009953703703703702,7199.983,0.7166666334875775,0.011944443891459626,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,1,False,432000,5686,426314,1.3162037037037035,7199.983,94.76666227931084,1.5794443713218473,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,2,False,432000,16399,415601,3.7960648148148146,7199.983,273.316654013088,4.5552775668848,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,3,True,432000,53874,378126,12.470833333333333,7199.983,897.8999584304594,14.964999307174322,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,4,False,432000,4866,427134,1.1263888888888889,7199.983,81.09999624536168,1.3516666040893612,60.00000277778433
